date,region,item_code,item_name,value,transformation
2026-01-01,national,GG_INTEREST_M22_24,General government | Interests (forecast) | within 22-24 months,126.22536,level
2026-04-01,national,GG_INTEREST_M22_24,General government | Interests (forecast) | within 22-24 months,116.841191,level
2026-01-01,national,GG_INTEREST_NO_INFO,General government | Interests (forecast) | no information,0.0,level
2026-04-01,national,GG_INTEREST_NO_INFO,General government | Interests (forecast) | no information,0.0,level
2026-01-01,national,GG_INTEREST_ON_DEMAND,General government | Interests (forecast) | on demand,0.0,level
2026-04-01,national,GG_INTEREST_ON_DEMAND,General government | Interests (forecast) | on demand,0.0,level
2026-01-01,national,GG_PRINCIPAL_AFTER_2Y,General government | Principal (forecast) | after 2 years,14133.2919,level
2026-04-01,national,GG_PRINCIPAL_AFTER_2Y,General government | Principal (forecast) | after 2 years,14459.677499,level
2026-01-01,national,GG_PRINCIPAL_M01_03,General government | Principal (forecast) | within 1-3 months,117.139778,level
2026-04-01,national,GG_PRINCIPAL_M01_03,General government | Principal (forecast) | within 1-3 months,404.691357,level
2026-01-01,national,GG_PRINCIPAL_M04_06,General government | Principal (forecast) | within 4-6 months,321.753017,level
2026-04-01,national,GG_PRINCIPAL_M04_06,General government | Principal (forecast) | within 4-6 months,351.213674,level
2026-01-01,national,GG_PRINCIPAL_M07_09,General government | Principal (forecast) | within 7-9 months,359.874365,level
2026-04-01,national,GG_PRINCIPAL_M07_09,General government | Principal (forecast) | within 7-9 months,201.317366,level
2026-01-01,national,GG_PRINCIPAL_M10_12,General government | Principal (forecast) | within 10-12 months,200.153106,level
2026-04-01,national,GG_PRINCIPAL_M10_12,General government | Principal (forecast) | within 10-12 months,196.531084,level
2026-01-01,national,GG_PRINCIPAL_M13_15,General government | Principal (forecast) | within 13-15 months,185.457272,level
2026-04-01,national,GG_PRINCIPAL_M13_15,General government | Principal (forecast) | within 13-15 months,225.845154,level
2026-01-01,national,GG_PRINCIPAL_M16_18,General government | Principal (forecast) | within 16-18 months,191.108714,level
2026-04-01,national,GG_PRINCIPAL_M16_18,General government | Principal (forecast) | within 16-18 months,294.50792,level
2026-01-01,national,GG_PRINCIPAL_M19_21,General government | Principal (forecast) | within 19-21 months,299.636235,level
2026-04-01,national,GG_PRINCIPAL_M19_21,General government | Principal (forecast) | within 19-21 months,226.119688,level
2026-01-01,national,GG_PRINCIPAL_M22_24,General government | Principal (forecast) | within 22-24 months,191.110371,level
2026-04-01,national,GG_PRINCIPAL_M22_24,General government | Principal (forecast) | within 22-24 months,181.5848,level
2026-01-01,national,GG_PRINCIPAL_NO_INFO,General government | Principal (forecast) | no information,0.0,level
2026-04-01,national,GG_PRINCIPAL_NO_INFO,General government | Principal (forecast) | no information,0.0,level
2026-01-01,national,GG_PRINCIPAL_ON_DEMAND,General government | Principal (forecast) | on demand,0.0,level
2026-04-01,national,GG_PRINCIPAL_ON_DEMAND,General government | Principal (forecast) | on demand,0.0,level
2026-01-01,national,MEMO_GOODS_AFTER_2Y,Repayment of external debt in the form of goods (forecast) | after 2 years,35169.900361,level
2026-04-01,national,MEMO_GOODS_AFTER_2Y,Repayment of external debt in the form of goods (forecast) | after 2 years,36362.065824,level
2026-01-01,national,MEMO_GOODS_M01_03,Repayment of external debt in the form of goods (forecast) | within 1-3 months,3127.199435,level
