iso3,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
PRI,0,0,0,0,0,0,0,0,12199.97,11254.4,11514.2,11486.02
PRK,0,0,0,0,0,0,0,0,4062.995,4367.386,4428.732,4367.681
PRT,0,0,0,0,0,0,0,0,6914.59,6170.34,6290.638,6222.948
PRY,0,0,0,0,0,0,0,0,15473.19,14875.05,14899.3,14876.07
PYF,0,0,0,0,0,0,0,0,14823.38,14834.8,14945.31,14930.9
QAT,0,0,0,0,0,0,0,0,3056.82,3346.704,3165.476,3113.094
REU,0,0,0,0,0,0,0,0,7467.268,8169.266,7903.458,7880.289
ROM,0,0,0,0,0,0,0,0,4016.489,3415.927,3498.667,3370.742
RUS,1,1,1,1,0,0,1,0,3104.607,2270.788,2152.753,1671.913
RWA,0,0,0,0,0,0,0,0,6864.667,7084.89,6914.439,6886.037
SAU,0,0,0,0,0,0,0,0,3439.756,3626.299,3742.288,3646.106
SDN,0,0,0,0,0,0,0,0,5205.772,5259.762,5220.399,5157.04
SEN,0,0,0,0,0,0,0,0,9256.059,8679.21,8709.563,8668.797
SGP,0,0,0,0,0,0,0,0,5379.919,6327.341,6088.273,6038.376
SHN,0,0,0,0,0,0,0,0,10644.77,10525.96,10673.53,10608.43
SLB,0,0,0,0,0,0,0,0,10177.25,10730.86,10641.24,10611.27
SLE,0,0,0,0,0,0,0,0,9388.782,8915.567,8895.716,8857.8
SLV,0,0,0,0,0,0,0,0,13542.94,12576.85,12860.41,12839.48
SMR,0,0,0,0,0,0,0,0,5057.729,4379.624,4493.823,4404.734
SOM,0,0,0,0,0,0,0,0,5552.414,5990.604,5614.616,5557.1
SPM,0,0,0,0,0,0,0,0,9013.188,8047.964,8305.148,8268.611
STP,0,0,0,0,0,0,0,0,8414.031,8272.525,8175.821,8143.025
SUR,0,0,0,0,0,0,0,0,12756.48,11914.26,12041.28,11934.18
SVK,0,0,0,0,0,0,0,0,4560.343,3836.225,3828.418,3714.831
SVN,0,0,0,0,0,0,0,0,4824.831,4123.43,4222.144,4124.986
SWE,0,0,0,0,0,0,0,0,4297.003,3405.046,3774.624,3669.147
SWZ,0,0,0,0,0,0,0,0,9050.165,9488.42,9245.423,9225.962
SYC,0,0,0,0,0,0,0,0,5750.717,6395.804,6126.095,6096.949
SYR,0,0,0,0,0,0,0,0,3667.694,3446.662,3233.347,3130.807
TCA,0,0,0,0,0,0,0,0,12125.2,11161.27,11424.19,11397.14
TCD,0,0,0,0,0,0,0,0,6831.233,6658.806,6578.612,6532.672
TGO,0,0,0,0,0,0,0,0,8381.254,8102.873,7986.031,7946.94
THA,0,0,0,0,0,0,0,0,3982.132,4913.997,4698.119,4626.664
TJK,0,0,0,0,1,0,0,0,852.4202,1410.283,1215.184,965.3138
TKL,0,0,0,0,0,0,0,0,12403.57,12630.59,12740.6,12720.17
TKM,1,0,0,0,1,0,0,0,1671.805,1794.697,1593.365,1466.812
TMP,0,0,0,0,0,0,0,0,7573.102,8422.818,8256.494,8217.957
TON,0,0,0,0,0,0,0,0,13029.74,13447.22,13426.3,13404.76
TTO,0,0,0,0,0,0,0,0,12707.0,11802.96,12027,11998.65
TUN,0,0,0,0,0,0,0,0,5579.479,4997.094,5122.298,5047.622
TUR,0,0,0,0,0,0,0,0,3914.222,3213.871,3333.192,3198.366
TUV,0,0,0,0,0,0,0,0,11655.43,11986.65,11906.07,11880.57
TWN,0,0,0,0,0,0,0,0,4508.484,5118.549,5070.268,5011.277
TZA,0,0,0,0,0,0,0,0,6745.094,7236.554,6962.434,6931.286
UGA,0,0,0,0,0,0,0,0,6494.712,6732.432,6519.015,6487.762
UKR,0,0,0,0,1,0,0,0,3564.066,2846.056,2844.814,2649.039
URY,0,0,0,0,0,0,0,0,15934.54,15520.82,15478.9,15457.81
USA,0,0,0,0,0,0,0,0,10240.88,9552.786,10257.21,10191.13
UZB,1,0,0,0,1,0,0,0,673.882,1115.664,1080.526,725.9137
VCT,0,0,0,0,0,0,0,0,12447.85,11537.0,11756.68,11727.89
VEN,0,0,0,0,0,0,0,0,13011.61,12079.62,12403.77,12375.69
VGB,0,0,0,0,0,0,0,0,12123.63,11183.63,11421.8,11393.17
VNM,0,0,0,0,0,0,0,0,3646.908,4488.571,5000.324,4897.049
VUT,0,0,0,0,0,0,0,0,11465.65,12016.91,11879.23,11852.04
WLF,0,0,0,0,0,0,0,0,12386.53,12718.24,12742.4,12720.89
WSM,0,0,0,0,0,0,0,0,11448.62,11923.11,13099.96,13079.62
YEM,0,0,0,0,0,0,0,0,4384.831,4663.113,4550.752,4509.851
YUG,0,0,0,0,0,0,0,0,4427.001,3781.773,3913.665,3807.708
ZAF,0,0,0,0,0,0,0,0,10441.83,9549.565,9716.657,9676.251
ZAR,0,0,0,0,0,0,0,0,8117.156,8142.749,7805.685,7756.485
ZMB,0,0,0,0,0,0,0,0,8202.215,8518.942,8176.592,8148.465
ZWE,0,0,0,0,0,0,0,0,8255.678,8629.574,8513.935,8489.917
