scale,lambda,mu,log_ml,sample
3.000,0.300,2.000,-1129.789,2011Q2
3.000,0.300,5.000,-1128.333,2011Q2
3.000,0.300,10.000,-1129.398,2011Q2
3.000,0.300,25.000,-1132.390,2011Q2
3.000,0.300,100.000,-1134.613,2011Q2
3.000,0.500,0.500,-1128.716,2011Q2
3.000,0.500,1.000,-1127.046,2011Q2
3.000,0.500,2.000,-1124.739,2011Q2
3.000,0.500,5.000,-1122.912,2011Q2
3.000,0.500,10.000,-1124.601,2011Q2
3.000,0.500,25.000,-1130.056,2011Q2
3.000,0.500,100.000,-1135.451,2011Q2
3.000,0.750,0.500,-1129.195,2011Q2
3.000,0.750,1.000,-1128.161,2011Q2
3.000,0.750,2.000,-1126.020,2011Q2
3.000,0.750,5.000,-1123.767,2011Q2
3.000,0.750,10.000,-1125.541,2011Q2
3.000,0.750,25.000,-1132.603,2011Q2
3.000,0.750,100.000,-1141.825,2011Q2
3.000,1.000,0.500,-1133.102,2011Q2
3.000,1.000,1.000,-1132.701,2011Q2
3.000,1.000,2.000,-1130.931,2011Q2
3.000,1.000,5.000,-1128.515,2011Q2
3.000,1.000,10.000,-1130.253,2011Q2
3.000,1.000,25.000,-1138.120,2011Q2
3.000,1.000,100.000,-1150.419,2011Q2
3.000,1.500,0.500,-1144.028,2011Q2
3.000,1.500,1.000,-1144.686,2011Q2
3.000,1.500,2.000,-1143.757,2011Q2
3.000,1.500,5.000,-1141.547,2011Q2
3.000,1.500,10.000,-1143.270,2011Q2
3.000,1.500,25.000,-1151.860,2011Q2
3.000,1.500,100.000,-1168.443,2011Q2
5.000,0.050,0.500,-1154.903,2011Q2
5.000,0.050,1.000,-1154.129,2011Q2
5.000,0.050,2.000,-1153.217,2011Q2
5.000,0.050,5.000,-1152.665,2011Q2
5.000,0.050,10.000,-1152.772,2011Q2
5.000,0.050,25.000,-1153.119,2011Q2
5.000,0.050,100.000,-1153.996,2011Q2
5.000,0.100,0.500,-1149.908,2011Q2
5.000,0.100,1.000,-1148.746,2011Q2
5.000,0.100,2.000,-1147.015,2011Q2
5.000,0.100,5.000,-1144.792,2011Q2
5.000,0.100,10.000,-1144.148,2011Q2
5.000,0.100,25.000,-1144.269,2011Q2
5.000,0.100,100.000,-1145.416,2011Q2
5.000,0.150,0.500,-1144.041,2011Q2
5.000,0.150,1.000,-1142.591,2011Q2
5.000,0.150,2.000,-1140.533,2011Q2
5.000,0.150,5.000,-1137.860,2011Q2
5.000,0.150,10.000,-1136.980,2011Q2
5.000,0.150,25.000,-1137.222,2011Q2
5.000,0.150,100.000,-1138.158,2011Q2
5.000,0.200,0.500,-1138.964,2011Q2
5.000,0.200,1.000,-1137.230,2011Q2
5.000,0.200,2.000,-1134.920,2011Q2
5.000,0.200,5.000,-1132.205,2011Q2
5.000,0.200,10.000,-1131.573,2011Q2
5.000,0.200,25.000,-1132.338,2011Q2
5.000,0.200,100.000,-1133.266,2011Q2
5.000,0.300,0.500,-1131.687,2011Q2
5.000,0.300,1.000,-1129.617,2011Q2
5.000,0.300,2.000,-1126.954,2011Q2
5.000,0.300,5.000,-1124.226,2011Q2
5.000,0.300,10.000,-1124.312,2011Q2
5.000,0.300,25.000,-1126.554,2011Q2
5.000,0.300,100.000,-1128.324,2011Q2
5.000,0.500,0.500,-1124.789,2011Q2
5.000,0.500,1.000,-1122.870,2011Q2
5.000,0.500,2.000,-1119.967,2011Q2
5.000,0.500,5.000,-1116.865,2011Q2
5.000,0.500,10.000,-1117.628,2011Q2
5.000,0.500,25.000,-1122.299,2011Q2
5.000,0.500,100.000,-1127.157,2011Q2
5.000,0.750,0.500,-1123.692,2011Q2
5.000,0.750,1.000,-1122.441,2011Q2
5.000,0.750,2.000,-1119.694,2011Q2
5.000,0.750,5.000,-1116.101,2011Q2
5.000,0.750,10.000,-1116.975,2011Q2
5.000,0.750,25.000,-1123.276,2011Q2
5.000,0.750,100.000,-1131.997,2011Q2
5.000,1.000,0.500,-1126.536,2011Q2
5.000,1.000,1.000,-1125.942,2011Q2
5.000,1.000,2.000,-1123.548,2011Q2
5.000,1.000,5.000,-1119.704,2011Q2
5.000,1.000,10.000,-1120.529,2011Q2
5.000,1.000,25.000,-1127.656,2011Q2
5.000,1.000,100.000,-1139.510,2011Q2
5.000,1.500,0.500,-1136.229,2011Q2
5.000,1.500,1.000,-1136.718,2011Q2
5.000,1.500,2.000,-1135.132,2011Q2
5.000,1.500,5.000,-1131.348,2011Q2
5.000,1.500,10.000,-1132.108,2011Q2
5.000,1.500,25.000,-1139.972,2011Q2
5.000,1.500,100.000,-1156.187,2011Q2
8.000,0.050,0.500,-1168.853,2011Q2
8.000,0.050,1.000,-1167.990,2011Q2
8.000,0.050,2.000,-1166.899,2011Q2
8.000,0.050,5.000,-1166.095,2011Q2
8.000,0.050,10.000,-1166.105,2011Q2
8.000,0.050,25.000,-1166.391,2011Q2
8.000,0.050,100.000,-1167.213,2011Q2
8.000,0.100,0.500,-1163.250,2011Q2
8.000,0.100,1.000,-1161.987,2011Q2
8.000,0.100,2.000,-1159.995,2011Q2
8.000,0.100,5.000,-1157.184,2011Q2
8.000,0.100,10.000,-1156.183,2011Q2
8.000,0.100,25.000,-1156.117,2011Q2
8.000,0.100,100.000,-1157.184,2011Q2
8.000,0.150,0.500,-1156.709,2011Q2
8.000,0.150,1.000,-1155.140,2011Q2
8.000,0.150,2.000,-1152.775,2011Q2
8.000,0.150,5.000,-1149.331,2011Q2
8.000,0.150,10.000,-1147.881,2011Q2
8.000,0.150,25.000,-1147.777,2011Q2
8.000,0.150,100.000,-1148.583,2011Q2
8.000,0.200,0.500,-1151.018,2011Q2
8.000,0.200,1.000,-1149.141,2011Q2
8.000,0.200,2.000,-1146.480,2011Q2
8.000,0.200,5.000,-1142.887,2011Q2
8.000,0.200,10.000,-1141.561,2011Q2
8.000,0.200,25.000,-1141.860,2011Q2
8.000,0.200,100.000,-1142.598,2011Q2
8.000,0.300,0.500,-1142.770,2011Q2
8.000,0.300,1.000,-1140.524,2011Q2
8.000,0.300,2.000,-1137.442,2011Q2
8.000,0.300,5.000,-1133.723,2011Q2
8.000,0.300,10.000,-1133.006,2011Q2
8.000,0.300,25.000,-1134.640,2011Q2
8.000,0.300,100.000,-1136.122,2011Q2
8.000,0.500,0.500,-1134.617,2011Q2
8.000,0.500,1.000,-1132.508,2011Q2
8.000,0.500,2.000,-1129.131,2011Q2
8.000,0.500,5.000,-1124.938,2011Q2
8.000,0.500,10.000,-1124.842,2011Q2
8.000,0.500,25.000,-1128.793,2011Q2
8.000,0.500,100.000,-1133.257,2011Q2
8.000,0.750,0.500,-1132.564,2011Q2
8.000,0.750,1.000,-1131.131,2011Q2
8.000,0.750,2.000,-1127.882,2011Q2
8.000,0.750,5.000,-1123.110,2011Q2
8.000,0.750,10.000,-1123.102,2011Q2
8.000,0.750,25.000,-1128.636,2011Q2
8.000,0.750,100.000,-1136.923,2011Q2
8.000,1.000,0.500,-1134.793,2011Q2
8.000,1.000,1.000,-1134.024,2011Q2
8.000,1.000,2.000,-1131.106,2011Q2
8.000,1.000,5.000,-1126.003,2011Q2
8.000,1.000,10.000,-1125.925,2011Q2
8.000,1.000,25.000,-1132.269,2011Q2
8.000,1.000,100.000,-1143.684,2011Q2
8.000,1.500,0.500,-1143.788,2011Q2
8.000,1.500,1.000,-1144.107,2011Q2
8.000,1.500,2.000,-1141.967,2011Q2
8.000,1.500,5.000,-1136.809,2011Q2
8.000,1.500,10.000,-1136.625,2011Q2
8.000,1.500,25.000,-1143.694,2011Q2
8.000,1.500,100.000,-1159.478,2011Q2
1.000,0.050,0.500,-778.152,2016Q1
1.000,0.050,1.000,-777.117,2016Q1
1.000,0.050,2.000,-775.597,2016Q1
1.000,0.050,5.000,-773.516,2016Q1
1.000,0.050,10.000,-772.391,2016Q1
1.000,0.050,25.000,-771.706,2016Q1
1.000,0.050,100.000,-771.348,2016Q1
1.000,0.100,0.500,-775.313,2016Q1
1.000,0.100,1.000,-773.034,2016Q1
1.000,0.100,2.000,-769.993,2016Q1
1.000,0.100,5.000,-764.665,2016Q1
1.000,0.100,10.000,-761.508,2016Q1
1.000,0.100,25.000,-759.772,2016Q1
1.000,0.100,100.000,-758.657,2016Q1
1.000,0.150,0.500,-772.448,2016Q1
1.000,0.150,1.000,-769.138,2016Q1
1.000,0.150,2.000,-765.406,2016Q1
1.000,0.150,5.000,-758.459,2016Q1
1.000,0.150,10.000,-753.880,2016Q1
1.000,0.150,25.000,-751.106,2016Q1
1.000,0.150,100.000,-749.569,2016Q1
1.000,0.200,0.500,-769.551,2016Q1
1.000,0.200,1.000,-765.730,2016Q1
1.000,0.200,2.000,-761.645,2016Q1
1.000,0.200,5.000,-754.196,2016Q1
1.000,0.200,10.000,-749.082,2016Q1
1.000,0.200,25.000,-745.765,2016Q1
1.000,0.200,100.000,-744.168,2016Q1
1.000,0.300,0.500,-764.133,2016Q1
1.000,0.300,1.000,-760.406,2016Q1
1.000,0.300,2.000,-756.285,2016Q1
1.000,0.300,5.000,-748.969,2016Q1
1.000,0.300,10.000,-744.105,2016Q1
1.000,0.300,25.000,-741.010,2016Q1
1.000,0.300,100.000,-739.984,2016Q1
1.000,0.500,0.500,-757.089,2016Q1
1.000,0.500,1.000,-754.853,2016Q1
1.000,0.500,2.000,-751.883,2016Q1
1.000,0.500,5.000,-745.900,2016Q1
1.000,0.500,10.000,-742.579,2016Q1
1.000,0.500,25.000,-741.626,2016Q1
1.000,0.500,100.000,-742.796,2016Q1
1.000,0.750,0.500,-754.913,2016Q1
1.000,0.750,1.000,-754.354,2016Q1
1.000,0.750,2.000,-752.946,2016Q1
1.000,0.750,5.000,-748.826,2016Q1
1.000,0.750,10.000,-747.160,2016Q1
1.000,0.750,25.000,-748.800,2016Q1
1.000,0.750,100.000,-752.839,2016Q1
1.000,1.000,0.500,-756.833,2016Q1
1.000,1.000,1.000,-757.384,2016Q1
1.000,1.000,2.000,-757.145,2016Q1
1.000,1.000,5.000,-754.543,2016Q1
1.000,1.000,10.000,-754.092,2016Q1
1.000,1.000,25.000,-757.708,2016Q1
1.000,1.000,100.000,-764.254,2016Q1
1.000,1.500,0.500,-764.943,2016Q1
1.000,1.500,1.000,-766.688,2016Q1
1.000,1.500,2.000,-767.973,2016Q1
1.000,1.500,5.000,-767.428,2016Q1
1.000,1.500,10.000,-768.622,2016Q1
1.000,1.500,25.000,-774.905,2016Q1
1.000,1.500,100.000,-785.425,2016Q1
2.000,0.050,0.500,-762.608,2016Q1
2.000,0.050,1.000,-761.673,2016Q1
2.000,0.050,2.000,-760.287,2016Q1
2.000,0.050,5.000,-758.226,2016Q1
2.000,0.050,10.000,-757.004,2016Q1
2.000,0.050,25.000,-756.247,2016Q1
2.000,0.050,100.000,-755.892,2016Q1
2.000,0.100,0.500,-759.114,2016Q1
2.000,0.100,1.000,-756.816,2016Q1
2.000,0.100,2.000,-753.992,2016Q1
2.000,0.100,5.000,-748.880,2016Q1
2.000,0.100,10.000,-745.583,2016Q1
2.000,0.100,25.000,-743.584,2016Q1
2.000,0.100,100.000,-742.505,2016Q1
2.000,0.150,0.500,-756.048,2016Q1
2.000,0.150,1.000,-752.483,2016Q1
2.000,0.150,2.000,-748.889,2016Q1
2.000,0.150,5.000,-742.260,2016Q1
2.000,0.150,10.000,-737.583,2016Q1
2.000,0.150,25.000,-734.467,2016Q1
2.000,0.150,100.000,-732.994,2016Q1
2.000,0.200,0.500,-753.105,2016Q1
2.000,0.200,1.000,-748.797,2016Q1
2.000,0.200,2.000,-744.713,2016Q1
2.000,0.200,5.000,-737.595,2016Q1
2.000,0.200,10.000,-732.411,2016Q1
2.000,0.200,25.000,-728.731,2016Q1
2.000,0.200,100.000,-727.200,2016Q1
2.000,0.300,0.500,-747.660,2016Q1
2.000,0.300,1.000,-743.115,2016Q1
2.000,0.300,2.000,-738.719,2016Q1
2.000,0.300,5.000,-731.635,2016Q1
2.000,0.300,10.000,-726.720,2016Q1
2.000,0.300,25.000,-723.293,2016Q1
2.000,0.300,100.000,-722.318,2016Q1
2.000,0.500,0.500,-740.261,2016Q1
2.000,0.500,1.000,-736.963,2016Q1
2.000,0.500,2.000,-733.395,2016Q1
2.000,0.500,5.000,-727.413,2016Q1
2.000,0.500,10.000,-724.041,2016Q1
2.000,0.500,25.000,-722.887,2016Q1
2.000,0.500,100.000,-724.134,2016Q1
2.000,0.750,0.500,-737.289,2016Q1
2.000,0.750,1.000,-735.643,2016Q1
2.000,0.750,2.000,-733.521,2016Q1
2.000,0.750,5.000,-729.299,2016Q1
2.000,0.750,10.000,-727.605,2016Q1
2.000,0.750,25.000,-729.165,2016Q1
2.000,0.750,100.000,-733.353,2016Q1
2.000,1.000,0.500,-738.438,2016Q1
2.000,1.000,1.000,-737.930,2016Q1
2.000,1.000,2.000,-736.959,2016Q1
2.000,1.000,5.000,-734.248,2016Q1
2.000,1.000,10.000,-733.808,2016Q1
2.000,1.000,25.000,-737.424,2016Q1
